vin,year,make,model,trim,type,damage,price,odometer,lot,date,location,state,source,repair_cost,url,matched_url,price_source
[PREMIUM],2021,Nissan,Rogue,SV,SC,Side,0,95342,46852746,2026-04-08,CA - MENTONE,CA,,15374.0,[PREMIUM],,
[PREMIUM],2021,Bmw,X5,XDRIVE45E,SC,Front End,0,0,46166016,2026-04-15,CA - MENTONE,CA,,11380.0,[PREMIUM],,
[PREMIUM],2023,Chevrolet,Colorado,Z71,SC,Front End,0,21984,79570675,2026-04-17,CA - REDDING,CA,,29041.0,[PREMIUM],,
[PREMIUM],2020,Nissan,Sentra,SR,SC,Front End,0,61408,79058225,2026-04-17,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2018,Subaru,Outback,2.5I LIMITED,SC,Rear End,0,131945,78738935,2026-04-17,CA - REDDING,CA,,5490.0,[PREMIUM],,
[PREMIUM],2023,Nissan,Sentra,SR,CT,Minor Dent/Scratches,0,43425,77398225,2026-04-14,WHOLESALE AUCTION,CA,,0.0,[PREMIUM],,
[PREMIUM],2018,Toyota,Camry,XSE,NR,Front End,0,31566,74796985,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2016,Chevrolet,Cruze,LT,SC,Burn - Interior,0,0,47778546,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2020,Ram,1500,REBEL,SC,Rollover,0,111268,45876116,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2023,Volvo,Xc60,ULTIMATE,SC,Front End,0,34408,45568696,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2017,Mercedes-Benz,E-Class,300 4MATIC,SC,Front End,0,0,41941716,,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2019,Subaru,Ascent,LIMITED,SC,Rear End,0,82060,41606886,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2023,Kia,Forte,LXS,SC,Side,0,40827,41658346,2026-04-10,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2015,Infiniti,Q50,BASE,SC,Rear End,0,116427,89740565,2026-04-08,CA - MENTONE,CA,,0.0,[PREMIUM],,
[PREMIUM],2026,Toyota,Tundra,TRD PRO HV,SC,Front End,0,1990,79476055,2026-04-15,CA - MENTONE,CA,,61042.0,[PREMIUM],,
[PREMIUM],2018,Toyota,Camry,SE,SC,Side,0,245189,79261145,2026-04-08,CA - MENTONE,CA,,10213.0,[PREMIUM],,
[PREMIUM],2025,Ram,2500,TRADESMAN,SC,Front End,0,9688,78040755,2026-04-08,CA - MENTONE,CA,,35442.0,[PREMIUM],,
[PREMIUM],2022,Toyota,Tacoma,TRD SPORT,SC,Front End,0,104772,74434355,2026-04-08,CA - MENTONE,CA,,28264.0,[PREMIUM],,
[PREMIUM],2018,Toyota,Tacoma,SR5 V6,SC,Front End,0,66318,47970946,2026-04-15,CA - MENTONE,CA,,16532.0,[PREMIUM],,
[PREMIUM],2015,Chrysler,300,,SC,Rear End,0,84826,46703066,2026-04-15,CA - MENTONE,CA,,12001.0,[PREMIUM],,
[PREMIUM],2018,Subaru,Forester,2.5I PREMIUM,SC,Front End,0,145642,98983835,2026-04-03,CA - REDDING,CA,,10455.0,[PREMIUM],,
[PREMIUM],2019,Chevrolet,Tahoe,K1500 LT,ST,Missing/Altered Vin,0,75885,95718705,2026-04-17,CA - REDDING,CA,,10062.0,[PREMIUM],,
[PREMIUM],2019,Toyota,Tacoma,DOUBLE CAB,SC,Front End,0,56757,78252475,2026-04-03,CA - REDDING,CA,,0.0,[PREMIUM],,
[PREMIUM],2016,Kia,Optima,SX TURBO,SC,Minor Dent/Scratches,0,125734,47766696,2026-04-03,CA - REDDING,CA,,11788.0,[PREMIUM],,
[PREMIUM],2016,Toyota,Tacoma,TRD SPORT,SC,Front End,0,42569,47540686,2026-04-10,CA - REDDING,CA,,27389.0,[PREMIUM],,
[PREMIUM],2018,Honda,Hr-V,EXL,SC,Front End,0,100823,47787116,,CA - REDDING,CA,,17179.0,[PREMIUM],,
[PREMIUM],2019,Toyota,Corolla,SE,SC,Rear End,0,84072,79296185,2026-04-15,CA - MENTONE,CA,,9959.0,[PREMIUM],,
[PREMIUM],2018,Honda,Accord,TOURING,SC,Front End,0,92359,79175405,2026-04-15,CA - MENTONE,CA,,17688.0,[PREMIUM],,
[PREMIUM],2021,Kia,Forte,GT LINE,SC,Front End,0,33491,75494605,2026-04-15,CA - MENTONE,CA,,0.0,[PREMIUM],,
